iter	RMSE
349	37.24699497
350	37.24695592
351	37.24690181
352	37.24689404
353	37.2468457
354	37.24674518
355	37.2467288
356	37.24666838
357	37.24654057
358	37.24637943
359	37.24628349
360	37.24624854
361	37.24622021
362	37.24619892
363	37.24613998
364	37.24609997
365	37.24599275
366	37.24592344
367	37.24582237
368	37.24575709
369	37.24569586
370	37.24548365
371	37.24536012
372	37.24532459
373	37.24522458
374	37.2451457
375	37.24503028
376	37.24501099
377	37.24491658
378	37.24486884
379	37.24485054
380	37.24478616
381	37.24462878
382	37.24449161
383	37.24447404
384	37.24443655
385	37.24437537
386	37.24435608
387	37.24434442
388	37.24432222
389	37.24417852
390	37.24414525
391	37.24405174
392	37.24401607
393	37.24397695
394	37.24392657
395	37.24383581
396	37.24364428
397	37.24360795
398	37.24352267
399	37.24348843
400	37.24336643
401	37.24330984
402	37.24327982
403	37.24317786
404	37.24300423
405	37.24296999
406	37.24292094
407	37.24283182
408	37.24278244
409	37.24273412
410	37.24268493
411	37.24260033
412	37.24258433
413	37.24250382
414	37.24246783
415	37.24237153
416	37.24224657
417	37.24223275
418	37.24215323
419	37.24213513
420	37.24201164
421	37.24195076
422	37.24188313
423	37.24185865
424	37.24182825
425	37.24180008
426	37.24167012
427	37.2415607
428	37.24154106
429	37.24149098
430	37.24145584
431	37.24143037
432	37.24140429
433	37.24128697
434	37.24119965
435	37.24117845
436	37.2411018
437	37.24108892
438	37.24102591
439	37.24100753
440	37.2409712
441	37.24085721
442	37.24080891
443	37.24076169
444	37.24074664
445	37.24071658
446	37.24063642
447	37.24062805
448	37.24056249
449	37.24048761
450	37.24047576
451	37.24036153
452	37.24032153
453	37.24027701
454	37.24016611
455	37.24013156
456	37.24003228
457	37.23992356
458	37.23975098
459	37.23972245
460	37.23960797
461	37.2395695
462	37.23953719
463	37.23939954
464	37.2393081
465	37.23928557
466	37.23927204
467	37.23919783
468	37.23912025
469	37.23905356
470	37.23894916
471	37.23887556
472	37.23879306
473	37.23876171
474	37.23874893
475	37.23865034
476	37.23855349
477	37.2384968
478	37.23846793
479	37.23837915
480	37.23831821
481	37.23823079
482	37.23820503
483	37.2381819
484	37.23812783
485	37.23799366
486	37.23797608
487	37.23794664
488	37.23785241
489	37.23777222
490	37.23776083
491	37.23770402
492	37.23758851
493	37.2374927
494	37.23742622
495	37.23740009
496	37.2373312
497	37.23729101
498	37.23724197
499	37.23719453
